web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Successful,Errors,Attempts,Average Per Match,Success,Total
"1742812629-145","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Mariani","ITA","0","0","2","0.00","0.00","2"
"1742812629-146","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","D'heer","BEL","0","0","3","0.00","0.00","3"
"1742812629-147","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Cavuto","ITA","0","0","0","","","0"
"1742812629-148","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Berger","ITA","0","0","0","","","0"
"1742812629-149","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Biglino","ITA","0","1","6","0.00","0.00","7"
"1742812629-150","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","S. Ngapeth","FRA","0","0","3","0.00","0.00","3"
"1742812629-151","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Lawrence","PUR","0","0","5","0.00","0.00","5"
"1742812629-152","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Piano","ITA","0","1","17","0.00","0.00","18"
"1742812629-153","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Colombo","ITA","0","0","4","0.00","0.00","4"
"1742812629-154","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Hoffer","ITA","0","0","1","0.00","0.00","1"
"1742812629-155","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Gironi","ITA","0","0","2","0.00","0.00","2"
"1742812629-156","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Alonso","CUB","0","1","2","0.00","0.00","3"
"1742812629-157","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Cester","ITA","0","0","1","0.00","0.00","1"
"1742812629-158","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","De Weijer","NED","0","1","5","0.00","0.00","6"
"1742812629-159","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Magalini","ITA","0","2","6","0.00","0.00","8"
"1742812629-160","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Jensen","DEN","0","0","0","","","0"
"1742812629-161","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Zanotti","ITA","0","0","1","0.00","0.00","1"
"1742812629-162","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Gottardo","ITA","0","0","10","0.00","0.00","10"
"1742812629-163","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Ambrose","ITA","0","0","0","","","0"
"1742812629-164","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Canella","ITA","0","2","15","0.00","0.00","17"
"1742812629-165","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Cengia","ITA","0","1","0","0.00","0.00","1"
"1742812629-166","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Lelli","ITA","0","0","4","0.00","0.00","4"
"1742812629-167","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Malavasi","ITA","0","0","0","","","0"
"1742812629-168","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Fontani","ITA","0","0","0","","","0"
"1742812629-169","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Pellegrini","ITA","0","0","0","","","0"
"1742812629-170","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Bernardis","ITA","0","0","0","","","0"
"1742812629-171","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Martinez","ITA","0","0","0","","","0"
"1742812629-172","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Lostritto","ITA","0","0","0","","","0"
"1742812629-173","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Morazzini","ITA","0","0","0","","","0"
"1742812629-174","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Fusaro","ITA","0","0","5","0.00","0.00","5"
"1742812629-175","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Rossi","ITA","0","0","0","","","0"
"1742812629-176","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Frascio","ITA","0","0","0","","","0"
"1742812629-177","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Hernandez C","FIV","0","0","0","","","0"
"1742812629-178","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Zanellotti","ITA","0","0","0","","","0"
"1742812629-179","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Favaro","ITA","0","0","0","","","0"
"1742812629-180","https://en.volleyballworld.com/volleyball/competitions/superlega/2022-2023/statistics/best-setters/","51","Rousseaux","BEL","0","0","10","0.00","0.00","10"
