web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1741349236-116","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Hamada","EGY","1","1","0","0.50","50.00","2"
"1741349236-117","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Seif Abed","EGY","1","1","2","0.33","25.00","4"
"1741349236-118","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Asran","EGY","1","2","1","0.33","25.00","4"
"1741349236-119","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Vicentin","ARG","1","2","3","0.50","16.67","6"
"1741349236-120","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Nedeljković","SRB","1","4","0","0.50","20.00","5"
"1741349236-121","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Hoag","CAN","1","0","0","0.33","100.00","1"
"1741349236-122","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Štalekar","SLO","1","1","0","1.00","50.00","2"
"1741349236-123","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Demyanenko","CAN","1","3","2","0.50","16.67","6"
"1741349236-124","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","36","Bołądź","POL","1","1","1","0.50","33.33","3"
"1741349236-125","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Miyaura","JPN","0","0","0","","","0"
"1741349236-126","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Otsuka","JPN","0","7","2","0.00","0.00","9"
"1741349236-127","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Kai","JPN","0","3","0","0.00","0.00","3"
"1741349236-128","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Fukatsu","JPN","0","0","0","","","0"
"1741349236-129","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Bottolo","ITA","0","0","0","","","0"
"1741349236-130","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Sanguinetti","ITA","0","0","0","","","0"
"1741349236-131","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Bovolenta","ITA","0","0","0","","","0"
"1741349236-132","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","L. Bergmann","BRA","0","0","1","0.00","0.00","1"
"1741349236-133","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Isac","BRA","0","0","0","","","0"
